<Trace>
2526
D2 600:615-1120 [COR]
X	Y
615	3277.66016
615.2	1197.64185
615.4	1901.74377
615.6	3869.02368
615.8	16067.9639
616	406839.2
616.2	2126538.75
616.4	693817
616.6	123307.938
616.8	1334.91418
617	789.148132
617.2	3193.22827
617.4	4241.291
617.6	1324.826
617.8	2390.52661
618	10902.9219
618.2	3794.81055
618.4	779.3121
618.6	2472.019
618.8	1455.16406
619	1435.22974
619.2	757.4834
619.4	529.7364
619.6	389.398254
619.8	644.6358
620	1067.08472
620.2	3381.49023
620.4	2763.93164
620.6	1659.80078
620.8	3932.21875
621	19089.3477
621.2	274919.1
621.4	1870017.63
621.6	858193.3
621.8	166308.141
622	1420.07776
622.2	1709.55969
622.4	859.9155
622.6	287.339447
622.8	349.3349
623	301.042847
623.2	301.7809
623.4	283.997162
623.6	321.82373
623.8	291.58667
624	478.869171
624.2	2013.51477
624.4	1918.16528
624.6	908.0141
624.8	797.111267
625	956.2067
625.2	1172.77
625.4	4538.03564
625.6	7773.67871
625.8	28903.1152
626	1097951.88
626.2	4083732.5
626.4	1327236.88
626.6	214074.516
626.8	4028.942
627	2531.3125
627.2	1355.83
627.4	608.3468
627.6	382.753143
627.8	364.166077
628	443.265747
628.2	535.880737
628.4	458.612457
628.6	623.9731
628.8	2225.741
629	2799.1084
629.2	1687.56128
629.4	2859.54468
629.6	9912.862
629.8	197087.359
630	1451639.5
630.2	775582
630.4	113379.805
630.6	1703.38745
630.8	3800.01318
631	2482.95654
631.2	996.8771
631.4	740.950562
631.6	776.797668
631.8	1318.27661
632	2280.047
632.2	14461.2891
632.4	27277.78
632.6	66275.02
632.8	2280527.25
633	3368827
633.2	902322.5
633.4	158387.969
633.6	2282.58569
633.8	1021.52472
634	483.916718
634.2	611.7544
634.4	627.450562
634.6	1251.12427
634.8	1559.122
635	952.0845
635.2	911.8003
635.4	1071.27344
635.6	1109.82617
635.8	1450.07642
636	1864.03394
636.2	2078.32983
636.4	2214.15
636.6	2162.01782
636.8	3761.08228
637	6127.58154
637.2	15225.3076
637.4	45108.91
637.6	567837.938
637.8	5595949
638	5392257
638.2	1125532.13
638.4	56803.7227
638.6	5066.51367
638.8	5939.333
639	10436.1719
639.2	28328.6582
639.4	104518.07
639.6	3475960.5
639.8	7070128.5
640	2233857
640.2	401860.719
640.4	10900.0967
640.6	7622.5415
640.8	2915.67773
641	1992.6073
641.2	1303.69153
641.4	1260.80481
641.6	2125.16235
641.8	2690.86548
642	1091.65369
642.2	914.848755
642.4	831.1392
642.6	589.6955
