<Trace>
2526
D2 600:615-1120
X	Y
615	1174.17236
615.2	428.0229
615.4	678.0575
615.6	1376.23669
615.8	5702.06152
616	144037.484
616.2	751040.563
616.4	244441.5
616.6	43337.5039
616.8	468.027374
617	276.009521
617.2	1114.15515
617.4	1476.27234
617.6	460.026459
617.8	828.0857
618	3767.77368
618.2	1308.21387
618.4	268.008972
618.6	848.0899
618.8	498.031
619	490.030029
619.2	258.008331
619.4	180.004044
619.6	132.002182
619.8	218.005936
620	360.0162
620.2	1138.16187
620.4	928.107666
620.6	556.038635
620.8	1314.21582
621	6365.06
621.2	91453.66
621.4	620624.6
621.6	284156.938
621.8	54938.71
622	468.027374
622.2	562.0395
622.4	282.009949
622.6	94.00111
622.8	114.001625
623	98.0012
623.2	98.0012
623.4	92.00106
623.6	104.00135
623.8	94.00111
624	154.00296
624.2	646.0522
624.4	614.0471
624.6	290.0105
624.8	254.008072
625	304.011566
625.2	372.0173
625.4	1436.25781
625.6	2454.753
625.8	9106.354
626	345146.938
626.2	1280597.13
626.4	415184.156
626.6	66803.21
626.8	1254.19666
627	786.0772
627.2	420.022064
627.4	188.004425
627.6	118.00174
627.8	112.001572
628	136.002319
628.2	164.003357
628.4	140.002457
628.6	190.004517
628.8	676.0571
629	848.0899
629.2	510.0325
629.4	862.0929
629.6	2981.11035
629.8	59123.7461
630	434398.969
630.2	231526.078
630.4	33763.9023
630.6	506.032
630.8	1126.15845
631	734.0673
631.2	294.0108
631.4	218.005936
631.6	228.0065
631.8	386.018616
632	666.0554
632.2	4214.21875
632.4	7929.85254
632.6	19220.0664
632.8	659768.25
633	972273.7
633.2	259793.2
633.4	45493.2422
633.6	654.053467
633.8	292.010651
634	138.00238
634.2	174.003784
634.4	178.003967
634.6	354.015656
634.8	440.0242
635	268.008972
635.2	256.008179
635.4	300.011261
635.6	310.012024
635.8	404.020416
636	518.033569
636.2	576.0415
636.4	612.0468
636.6	596.044434
636.8	1034.13367
637	1680.35291
637.2	4164.1665
637.4	12304.8975
637.6	154488.828
637.8	1518469.5
638	1459370.38
638.2	303798.625
638.4	15291.1719
638.6	1360.2312
638.8	1590.316
639	2786.97046
639.2	7545.10938
639.4	27764.0215
639.6	920917.438
639.8	1868231.38
640	588734.1
640.2	105620.281
640.4	2857.02
640.6	1992.49609
640.8	760.0722
641	518.033569
641.2	338.014282
641.4	326.013275
641.6	548.037537
641.8	692.0599
642	280.0098
642.2	234.006851
642.4	212.005615
642.6	150.0028
642.8	158.003128
643	162.003281
643.2	138.00238
643.4	146.00267
643.6	106.0014
643.8	204.0052
644	748.069946
644.2	742.068848
644.4	234.006851
644.6	94.00111
644.8	96.00115
645	132.002182
645.2	90.0010147
645.4	106.0014
645.6	120.0018
645.8	108.001457
646	132.002182
646.2	100.001251
646.4	96.00115
646.6	114.001625
646.8	114.001625
647	158.003128
647.2	182.004135
647.4	156.003036
647.6	164.003357
647.8	156.003036
648	210.005508
648.2	218.005936
648.4	256.008179
648.6	302.0114
648.8	318.012634
649	434.02356
649.2	452.025543
649.4	654.053467
649.6	1360.2312
649.8	3291.35352
650	9318.843
650.2	190222
650.4	1127007.5
650.6	1109573.38
650.8	213761.078
651	11622.8623
651.2	588.0432
651.4	280.0098
651.6	172.0037
651.8	222.006165
652	172.0037
652.2	332.013763
652.4	734.0673
652.6	2100.55151
652.8	8589.212
653	259002.313
653.2	666236.438
653.4	223451.75
653.6	42892.7461
653.8	462.026672
654	226.006378
654.2	86.00092
654.4	100.001251
654.6	70.00061
654.8	126.001984
655	138.00238
655.2	76.0007248
655.4	70.00061
655.6	94.00111
655.8	74.00069
656	122.001862
656.2	100.001251
656.4	98.0012
656.6	102.0013
656.8	74.00069
657	138.00238
657.2	100.001251
657.4	142.002518
657.6	102.0013
657.8	148.002731
658	140.002457
658.2	114.001625
658.4	182.004135
658.6	200.005
658.8	248.00769
659	424.022461
659.2	872.095032
659.4	2350.69043
659.6	11009.1289
659.8	307040.7
660	680694.5
660.2	255441.953
660.4	50733.71
660.6	1698.36047
660.8	546.0373
661	238.00708
661.2	160.0032
661.4	122.001862
661.6	82.00084
661.8	84.000885
662	90.0010147
662.2	58.00042
662.4	96.00115
662.6	66.00054
662.8	62.00048
663	100.001251
663.2	74.00069
663.4	72.00065
663.6	84.000885
663.8	118.00174
664	122.001862
664.2	136.002319
664.4	76.0007248
664.6	76.0007248
664.8	156.003036
665	190.004517
665.2	1094.14966
665.4	2598.844
665.6	952.1133
665.8	318.012634
666	188.004425
666.2	136.002319
666.4	220.006058
666.6	280.0098
666.8	514.033
667	680.0578
667.2	1290.208
667.4	3363.41357
667.6	22545.3574
667.8	552026.938
668	1011343
668.2	312167.625
668.4	52737.38
668.6	1998.49915
668.8	1068.14258
669	578.041748
669.2	298.0111
669.4	214.005722
669.6	202.0051
669.8	160.0032
670	148.002731
670.2	168.003525
670.4	174.003784
670.6	272.009247
670.8	290.0105
671	652.053162
671.2	2000.50012
671.4	10794.5459
671.6	306542.563
671.8	637359.4
672	258060.25
672.2	38496.36
672.4	1278.20422
672.6	488.029755
672.8	256.008179
673	192.004608
673.2	88.00097
673.4	90.0010147
673.6	156.003036
673.8	470.027618
674	460.026459
674.2	104.00135
674.4	54.0003662
674.6	40.0002
674.8	22.000061
675	56.0003929
675.2	90.0010147
675.4	128.002045
675.6	92.00106
675.8	62.00048
676	82.00084
676.2	62.00048
676.4	14.0000248
676.6	20.00005
676.8	20.00005
677	36.00016
677.2	12.0000181
677.4	24.0000725
677.6	30.0001125
677.8	24.0000725
678	34.000145
678.2	26.0000839
678.4	40.0002
678.6	42.00022
678.8	28.0000973
679	40.0002
679.2	14.0000248
679.4	14.0000248
679.6	16.0000324
679.8	30.0001125
680	20.00005
680.2	14.0000248
680.4	36.00016
680.6	24.0000725
680.8	32.00013
681	20.00005
681.2	26.0000839
681.4	28.0000973
681.6	8.000008
681.8	42.00022
682	38.00018
682.2	26.0000839
682.4	42.00022
682.6	30.0001125
682.8	46.0002632
683	62.00048
683.2	728.0663
683.4	898.1008
683.6	212.005615
683.8	46.0002632
684	38.00018
684.2	26.0000839
684.4	102.0013
684.6	64.00051
684.8	24.0000725
685	24.0000725
685.2	26.0000839
685.4	46.0002632
685.6	36.00016
685.8	42.00022
686	58.00042
686.2	32.00013
686.4	60.00045
686.6	46.0002632
686.8	128.002045
687	76.0007248
687.2	34.000145
687.4	34.000145
687.6	20.00005
687.8	64.00051
688	50.0003128
688.2	34.000145
688.4	34.000145
688.6	52.00034
688.8	100.001251
689	344.0148
689.2	454.025757
689.4	152.002884
689.6	92.00106
689.8	150.0028
690	72.00065
690.2	224.006271
690.4	548.037537
690.6	392.0192
690.8	138.00238
691	162.003281
691.2	226.006378
691.4	320.0128
691.6	710.063
691.8	1206.18188
692	2756.94971
692.2	12040.0928
692.4	336995.969
692.6	781896.1
692.8	239450.8
693	27741.87
693.2	1396.24365
693.4	638.0509
693.6	282.009949
693.8	306.011719
694	586.0429
694.2	516.033264
694.4	92.00106
694.6	60.00045
694.8	66.00054
695	66.00054
695.2	34.000145
695.4	26.0000839
695.6	30.0001125
695.8	90.0010147
696	258.008331
696.2	280.0098
696.4	76.0007248
696.6	22.000061
696.8	32.00013
697	18.00004
697.2	28.0000973
697.4	52.00034
697.6	26.0000839
697.8	16.0000324
698	62.00048
698.2	22.000061
698.4	56.0003929
698.6	64.00051
698.8	36.00016
699	118.00174
699.2	164.003357
699.4	122.001862
699.6	132.002182
699.8	326.013275
700	302.0114
700.2	208.0054
700.4	292.010651
700.6	368.016937
700.8	460.026459
701	650.0528
701.2	758.071838
701.4	1122.15735
701.6	1958.47937
701.8	20182.79
702	60786.39
702.2	42278.2578
702.4	35262.75
702.6	513559.2
702.8	1966748.38
703	1756044
703.2	527375.563
703.4	46956
703.6	2700.91162
703.8	2206.6084
704	834.087
704.2	142.002518
704.4	88.00097
704.6	510.0325
704.8	1462.26721
705	952.1133
705.2	384.018433
705.4	3169.25513
705.6	7462.95557
705.8	3157.24561
706	838.087769
706.2	106.0014
706.4	162.003281
706.6	126.001984
706.8	78.00076
707	30.0001125
707.2	18.00004
707.4	34.000145
707.6	36.00016
707.8	22.000061
708	28.0000973
708.2	46.0002632
708.4	34.000145
708.6	16.0000324
708.8	26.0000839
709	38.00018
709.2	22.000061
709.4	64.00051
709.6	14.0000248
709.8	14.0000248
710	28.0000973
710.2	18.00004
710.4	14.0000248
710.6	24.0000725
710.8	20.00005
711	62.00048
711.2	110.001511
711.4	78.00076
711.6	26.0000839
711.8	20.00005
712	30.0001125
712.2	36.00016
712.4	32.00013
712.6	24.0000725
712.8	34.000145
713	18.00004
713.2	28.0000973
713.4	40.0002
713.6	60.00045
713.8	56.0003929
714	30.0001125
714.2	50.0003128
714.4	42.00022
714.6	26.0000839
714.8	84.000885
715	34.000145
715.2	42.00022
715.4	46.0002632
715.6	54.0003662
715.8	38.00018
716	22.000061
716.2	50.0003128
716.4	46.0002632
716.6	110.001511
716.8	284.010071
717	1348.22717
717.2	24800.6465
717.4	72378.97
717.6	54557.5469
717.8	15066.3213
718	1510.285
718.2	174.003784
718.4	130.0021
718.6	914.104431
718.8	1270.20166
719	570.0406
719.2	54.0003662
719.4	26.0000839
719.6	40.0002
719.8	44.00024
720	252.007935
720.2	234.006851
720.4	152.002884
720.6	16.0000324
720.8	30.0001125
721	42.00022
721.2	46.0002632
721.4	40.0002
721.6	32.00013
721.8	74.00069
722	98.0012
722.2	94.00111
722.4	110.001511
722.6	166.003448
722.8	162.003281
723	270.009125
723.2	196.0048
723.4	236.006958
723.6	350.01532
723.8	634.050232
724	1420.25208
724.2	5635.968
724.4	110129.477
724.6	676883.7
724.8	933449.438
725	246228.25
725.2	41589.09
725.4	648.0525
725.6	174.003784
725.8	132.002182
726	40.0002
726.2	74.00069
726.4	36.00016
726.6	36.00016
726.8	122.001862
727	126.001984
727.2	50.0003128
727.4	38.00018
727.6	82.00084
727.8	34.000145
728	24.0000725
728.2	10.0000124
728.4	26.0000839
728.6	26.0000839
728.8	14.0000248
729	40.0002
729.2	28.0000973
729.4	12.0000181
729.6	8.000008
729.8	28.0000973
730	8.000008
730.2	24.0000725
730.4	42.00022
730.6	62.00048
730.8	44.00024
731	38.00018
731.2	18.00004
731.4	16.0000324
731.6	10.0000124
731.8	28.0000973
732	36.00016
732.2	12.0000181
732.4	26.0000839
732.6	24.0000725
732.8	18.00004
733	26.0000839
733.2	14.0000248
733.4	8.000008
733.6	30.0001125
733.8	24.0000725
734	14.0000248
734.2	14.0000248
734.4	8.000008
734.6	28.0000973
734.8	8.000008
735	14.0000248
735.2	10.0000124
735.4	12.0000181
735.6	14.0000248
735.8	20.00005
736	6.00000429
736.2	30.0001125
736.4	72.00065
736.6	36.00016
736.8	14.0000248
737	42.00022
737.2	64.00051
737.4	28.0000973
737.6	26.0000839
737.8	20.00005
738	4.000002
738.2	82.00084
738.4	212.005615
738.6	88.00097
738.8	64.00051
739	10.0000124
739.2	32.00013
739.4	16.0000324
739.6	0
739.8	14.0000248
740	42.00022
740.2	68.00058
740.4	26.0000839
740.6	18.00004
740.8	18.00004
741	20.00005
741.2	22.000061
741.4	46.0002632
741.6	42.00022
741.8	28.0000973
742	46.0002632
742.2	72.00065
742.4	88.00097
742.6	94.00111
742.8	116.001678
743	302.0114
743.2	1186.1759
743.4	33392.8047
743.6	132292.063
743.8	188046.688
744	58912.668
744.2	7849.695
744.4	134.002243
744.6	60.00045
744.8	30.0001125
745	16.0000324
745.2	14.0000248
745.4	26.0000839
745.6	6.00000429
745.8	10.0000124
746	12.0000181
746.2	10.0000124
746.4	14.0000248
746.6	66.00054
746.8	1174.17236
747	2544.80933
747.2	1594.31763
747.4	438.024
747.6	30.0001125
747.8	64.00051
748	126.001984
748.2	552.0381
748.4	9934.321
748.6	31136.7168
748.8	38318.6641
749	11695.0723
749.2	714.0637
749.4	70.00061
749.6	32.00013
749.8	52.00034
750	160.0032
750.2	188.004425
750.4	80.0008
750.6	20.00005
750.8	28.0000973
751	96.00115
751.2	216.005829
751.4	100.001251
751.6	32.00013
751.8	32.00013
752	4.000002
752.2	16.0000324
752.4	16.0000324
752.6	66.00054
752.8	322.01297
753	4696.756
753.2	27250.5078
753.4	37975.4141
753.6	10892.8115
753.8	4278.28662
754	13119.4795
754.2	15459.8184
754.4	4648.69971
754.6	592.0438
754.8	6.00000429
755	30.0001125
755.2	14.0000248
755.4	10.0000124
755.6	22.000061
755.8	24.0000725
756	16.0000324
756.2	2.00000048
756.4	22.000061
756.6	12.0000181
756.8	24.0000725
757	6.00000429
757.2	14.0000248
757.4	14.0000248
757.6	4.000002
757.8	16.0000324
758	8.000008
758.2	8.000008
758.4	16.0000324
758.6	10.0000124
758.8	14.0000248
759	24.0000725
759.2	4.000002
759.4	26.0000839
759.6	2.00000048
759.8	14.0000248
760	8.000008
760.2	16.0000324
760.4	12.0000181
760.6	22.000061
760.8	10.0000124
761	10.0000124
761.2	12.0000181
761.4	14.0000248
761.6	10.0000124
761.8	8.000008
762	40.0002
762.2	26.0000839
762.4	4.000002
762.6	12.0000181
762.8	46.0002632
763	268.008972
763.2	580.042053
763.4	390.019
763.6	94.00111
763.8	14.0000248
764	6.00000429
764.2	14.0000248
764.4	14.0000248
764.6	18.00004
764.8	22.000061
765	20.00005
765.2	14.0000248
765.4	24.0000725
765.6	16.0000324
765.8	0
766	10.0000124
766.2	14.0000248
766.4	12.0000181
766.6	12.0000181
766.8	8.000008
767	6.00000429
767.2	12.0000181
767.4	8.000008
767.6	10.0000124
767.8	8.000008
768	10.0000124
768.2	6.00000429
768.4	22.000061
768.6	20.00005
768.8	14.0000248
769	14.0000248
769.2	10.0000124
769.4	16.0000324
769.6	6.00000429
769.8	4.000002
770	16.0000324
770.2	12.0000181
770.4	6.00000429
770.6	6.00000429
770.8	14.0000248
771	10.0000124
771.2	10.0000124
771.4	4.000002
771.6	6.00000429
771.8	8.000008
772	34.000145
772.2	120.0018
772.4	212.005615
772.6	78.00076
772.8	38.00018
773	8.000008
773.2	2.00000048
773.4	30.0001125
773.6	10.0000124
773.8	8.000008
774	2.00000048
774.2	16.0000324
774.4	4.000002
774.6	0
774.8	30.0001125
775	10.0000124
775.2	12.0000181
775.4	24.0000725
775.6	4.000002
775.8	2.00000048
776	10.0000124
776.2	4.000002
776.4	12.0000181
776.6	16.0000324
776.8	8.000008
777	8.000008
777.2	4.000002
777.4	2.00000048
777.6	16.0000324
777.8	0
778	6.00000429
778.2	2.00000048
778.4	2.00000048
778.6	4.000002
778.8	12.0000181
779	16.0000324
779.2	10.0000124
779.4	10.0000124
779.6	8.000008
779.8	0
780	22.000061
780.2	6.00000429
780.4	0
780.6	16.0000324
780.8	0
781	12.0000181
781.2	10.0000124
781.4	16.0000324
781.6	4.000002
781.8	20.00005
782	20.00005
782.2	10.0000124
782.4	20.00005
782.6	12.0000181
782.8	6.00000429
783	8.000008
783.2	16.0000324
783.4	14.0000248
783.6	4.000002
783.8	16.0000324
784	34.000145
784.2	30.0001125
784.4	36.00016
784.6	42.00022
784.8	12.0000181
785	8.000008
785.2	12.0000181
785.4	0
785.6	10.0000124
785.8	6.00000429
786	8.000008
786.2	12.0000181
786.4	4.000002
786.6	4.000002
786.8	4.000002
787	8.000008
787.2	8.000008
787.4	8.000008
787.6	0
787.8	4.000002
788	6.00000429
788.2	26.0000839
788.4	8.000008
788.6	16.0000324
788.8	6.00000429
789	0
789.2	12.0000181
789.4	30.0001125
789.6	2.00000048
789.8	2.00000048
790	20.00005
790.2	12.0000181
790.4	24.0000725
790.6	4.000002
790.8	2.00000048
791	0
791.2	2.00000048
791.4	18.00004
791.6	12.0000181
791.8	6.00000429
792	4.000002
792.2	10.0000124
792.4	2.00000048
792.6	4.000002
792.8	42.00022
793	84.000885
793.2	38.00018
793.4	16.0000324
793.6	50.0003128
793.8	234.006851
794	222.006165
794.2	490.030029
794.4	1068.14258
794.6	1192.17761
794.8	606.0459
795	212.005615
795.2	90.0010147
795.4	32.00013
795.6	8.000008
795.8	0
796	6.00000429
796.2	2.00000048
796.4	10.0000124
796.6	2.00000048
796.8	6.00000429
797	8.000008
797.2	6.00000429
797.4	0
797.6	6.00000429
797.8	4.000002
798	6.00000429
798.2	6.00000429
798.4	6.00000429
798.6	22.000061
798.8	2.00000048
799	4.000002
799.2	8.000008
799.4	8.000008
799.6	6.00000429
799.8	14.0000248
800	4.000002
800.2	20.00005
800.4	28.0000973
800.6	84.000885
800.8	18.00004
801	10.0000124
801.2	56.0003929
801.4	56.0003929
801.6	58.00042
801.8	14.0000248
802	8.000008
802.2	0
802.4	12.0000181
802.6	4.000002
802.8	4.000002
803	12.0000181
803.2	4.000002
803.4	0
803.6	6.00000429
803.8	14.0000248
804	0
804.2	10.0000124
804.4	6.00000429
804.6	6.00000429
804.8	20.00005
805	4.000002
805.2	8.000008
805.4	4.000002
805.6	8.000008
805.8	6.00000429
806	4.000002
806.2	8.000008
806.4	10.0000124
806.6	4.000002
806.8	20.00005
807	8.000008
807.2	20.00005
807.4	24.0000725
807.6	58.00042
807.8	798.0796
808	2360.69629
808.2	2911.05884
808.4	1092.149
808.6	140.002457
808.8	46.0002632
809	30.0001125
809.2	16.0000324
809.4	8.000008
809.6	2.00000048
809.8	44.00024
810	72.00065
810.2	96.00115
810.4	22.000061
810.6	20.00005
810.8	34.000145
811	138.00238
811.2	296.010956
811.4	392.0192
811.6	368.016937
811.8	156.003036
812	40.0002
812.2	14.0000248
812.4	28.0000973
812.6	106.0014
812.8	88.00097
813	296.010956
813.2	1012.12805
813.4	1250.19531
813.6	470.027618
813.8	110.001511
814	6.00000429
814.2	4.000002
814.4	6.00000429
814.6	0
814.8	0
815	8.000008
815.2	2.00000048
815.4	8.000008
815.6	8.000008
815.8	6.00000429
816	2.00000048
816.2	0
816.4	8.000008
816.6	2.00000048
816.8	0
817	4.000002
817.2	2.00000048
817.4	8.000008
817.6	10.0000124
817.8	12.0000181
818	2.00000048
818.2	14.0000248
818.4	4.000002
818.6	2.00000048
818.8	4.000002
819	4.000002
819.2	8.000008
819.4	4.000002
819.6	12.0000181
819.8	6.00000429
820	6.00000429
820.2	6.00000429
820.4	10.0000124
820.6	4.000002
820.8	0
821	14.0000248
821.2	6.00000429
821.4	2.00000048
821.6	4.000002
821.8	10.0000124
822	4.000002
822.2	6.00000429
822.4	8.000008
822.6	0
822.8	2.00000048
823	12.0000181
823.2	4.000002
823.4	6.00000429
823.6	8.000008
823.8	4.000002
824	16.0000324
824.2	0
824.4	14.0000248
824.6	4.000002
824.8	22.000061
825	0
825.2	0
825.4	10.0000124
825.6	46.0002632
825.8	72.00065
826	38.00018
826.2	86.00092
826.4	170.003616
826.6	156.003036
826.8	40.0002
827	4.000002
827.2	16.0000324
827.4	14.0000248
827.6	0
827.8	4.000002
828	2.00000048
828.2	4.000002
828.4	6.00000429
828.6	6.00000429
828.8	8.000008
829	2.00000048
829.2	10.0000124
829.4	46.0002632
829.6	196.0048
829.8	642.0515
830	1242.19287
830.2	624.0487
830.4	184.004227
830.6	12.0000181
830.8	4.000002
831	0
831.2	14.0000248
831.4	2.00000048
831.6	6.00000429
831.8	0
832	8.000008
832.2	2.00000048
832.4	2.00000048
832.6	2.00000048
832.8	10.0000124
833	24.0000725
833.2	4.000002
833.4	10.0000124
833.6	6.00000429
833.8	10.0000124
834	4.000002
834.2	8.000008
834.4	0
834.6	0
834.8	4.000002
835	8.000008
835.2	6.00000429
835.4	2.00000048
835.6	10.0000124
835.8	8.000008
836	0
836.2	4.000002
836.4	48.0002861
836.6	68.00058
836.8	116.001678
837	30.0001125
837.2	6.00000429
837.4	38.00018
837.6	858.092041
837.8	2102.55249
838	3597.61719
838.2	1210.183
838.4	260.008453
838.6	12.0000181
838.8	8.000008
839	8.000008
839.2	0
839.4	12.0000181
839.6	0
839.8	16.0000324
840	4.000002
840.2	0
840.4	6.00000429
840.6	2.00000048
840.8	2.00000048
841	22.000061
841.2	2.00000048
841.4	4.000002
841.6	40.0002
